INFO 2024-07-20 00:02:42,357 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-20 00:02:42,861 autoreload File /Users/adithya/Documents/code-challenge-template/env/lib/python3.12/site-packages/rest_framework/utils/mediatypes.py first seen with mtime 1721409035.1808312
DEBUG 2024-07-20 00:02:42,861 autoreload File /usr/local/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/asyncio/base_events.py first seen with mtime 1717698404.0
DEBUG 2024-07-20 00:02:42,861 autoreload File /usr/local/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/multiprocessing/process.py first seen with mtime 1717698404.0
DEBUG 2024-07-20 00:02:42,861 autoreload File /Users/adithya/Documents/code-challenge-template/env/lib/python3.12/site-packages/django/test/client.py first seen with mtime 1721248443.5271027
DEBUG 2024-07-20 00:02:42,862 autoreload File /usr/local/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/urllib/error.py first seen with mtime 1717698404.0
DEBUG 2024-07-20 00:02:42,862 autoreload File /Users/adithya/Documents/code-challenge-template/env/lib/python3.12/site-packages/drf_spectacular/generators.py first seen with mtime 1721421010.6095078
DEBUG 2024-07-20 00:02:42,862 autoreload File /usr/local/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/gzip.py first seen with mtime 1717698404.0
DEBUG 2024-07-20 00:02:42,862 autoreload File /Users/adithya/Documents/code-challenge-template/env/lib/python3.12/site-packages/django/contrib/messages/middleware.py first seen with mtime 1721248442.9616117
DEBUG 2024-07-20 00:02:42,862 autoreload File /Users/adithya/Documents/code-challenge-template/env/lib/python3.12/site-packages/yaml/parser.py first seen with mtime 1721421010.2658377
DEBUG 2024-07-20 00:02:42,862 autoreload File /Users/adithya/Documents/code-challenge-template/env/lib/python3.12/site-packages/rest_framework/views.py first seen with mtime 1721409035.0805488
DEBUG 2024-07-20 00:02:42,862 autoreload File /Users/adithya/Documents/code-challenge-template/env/lib/python3.12/site-packages/django/db/backends/postgresql/psycopg_any.py first seen with mtime 1721248443.4416728
DEBUG 2024-07-20 00:02:42,862 autoreload File /Users/adithya/Documents/code-challenge-template/env/lib/python3.12/site-packages/django/core/handlers/__init__.py first seen with mtime 1721248443.3928328
DEBUG 2024-07-20 00:02:42,862 autoreload File /usr/local/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_compiler.py first seen with mtime 1717698404.0
DEBUG 2024-07-20 00:02:42,862 autoreload File /usr/local/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/__init__.py first seen with mtime 1717698404.0
DEBUG 2024-07-20 00:02:42,863 autoreload File /usr/local/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/entities.py first seen with mtime 1717698404.0
